ID	Label	Type	Deprecated?
ID	A rdfs:label	TYPE	AT owl:deprecated^^xsd:boolean
MRO:0000000	haplotype member of	owl:ObjectProperty	
MRO:0000001	serotype member of	owl:ObjectProperty	
MRO:0000002	is synthetic protein mutant of	owl:ObjectProperty	
MRO:0000003	genetic entity	owl:Class	
MRO:0000004	MHC locus	owl:Class	
MRO:0000005	MHC haplotype	owl:Class	
MRO:0000006	serotype	owl:Class	
MRO:0000007	MHC serotype	owl:Class	
MRO:0000008	T cell epitope dependent biological activity assay	owl:Class	
MRO:0000009	MHC ligand assay	owl:Class	
MRO:0000010	MHC protein complex with haplotype	owl:Class	
MRO:0000011	MHC protein complex with serotype	owl:Class	
MRO:0000012	mutant MHC protein complex	owl:Class	
MRO:0000013	HLA-DR protein complex	owl:Class	
MRO:0000014	BF-B locus	owl:Class	
MRO:0000015	BF1 locus	owl:Class	
MRO:0000016	BF2 locus	owl:Class	
MRO:0000017	BF-YF locus	owl:Class	
MRO:0000018	BoLA-1 locus	owl:Class	
MRO:0000019	BoLA-2 locus	owl:Class	
MRO:0000020	BoLA-3 locus	owl:Class	
MRO:0000021	BoLA-6 locus	owl:Class	
MRO:0000022	BoLA-CD1 locus	owl:Class	
MRO:0000023	BoLA-DQA locus	owl:Class	
MRO:0000024	BoLA-DQB locus	owl:Class	
MRO:0000025	BoLA-DRA locus	owl:Class	
MRO:0000026	BoLA-DRB locus	owl:Class	
MRO:0000027	BoLA-DRB3 locus	owl:Class	
MRO:0000028	BoLA-DRB6 locus	owl:Class	
MRO:0000029	BoLA-MR1 locus	owl:Class	
MRO:0000030	Caja-E locus	owl:Class	
MRO:0000031	Caja-G locus	owl:Class	
MRO:0000032	DLA-88 locus	owl:Class	
MRO:0000033	ELA-N locus	owl:Class	
MRO:0000034	Gogo-B locus	owl:Class	
MRO:0000035	obsolete H2-CD1 locus	owl:Class	true
MRO:0000036	H2-D locus	owl:Class	
MRO:0000037	H2-IA alpha locus	owl:Class	
MRO:0000038	H2-IA beta locus	owl:Class	
MRO:0000039	H2-IE alpha locus	owl:Class	
MRO:0000040	H2-IE beta locus	owl:Class	
MRO:0000041	H2-K locus	owl:Class	
MRO:0000042	H2-L locus	owl:Class	
MRO:0000043	H2-M locus	owl:Class	
MRO:0000044	H2-MR1 locus	owl:Class	
MRO:0000045	H2-Q locus	owl:Class	
MRO:0000046	HLA-A locus	owl:Class	
MRO:0000047	HLA-B locus	owl:Class	
MRO:0000048	HLA-BTN3A locus	owl:Class	
MRO:0000049	HLA-C locus	owl:Class	
MRO:0000050	HLA-CD1 locus	owl:Class	
MRO:0000051	HLA-DPA locus	owl:Class	
MRO:0000052	HLA-DPB locus	owl:Class	
MRO:0000053	HLA-DQA locus	owl:Class	
MRO:0000054	HLA-DQB locus	owl:Class	
MRO:0000055	HLA-DRA locus	owl:Class	
MRO:0000056	HLA-DRB locus	owl:Class	
MRO:0000057	HLA-DRB1 locus	owl:Class	
MRO:0000058	HLA-DRB3 locus	owl:Class	
MRO:0000059	HLA-DRB4 locus	owl:Class	
MRO:0000060	HLA-DRB5 locus	owl:Class	
MRO:0000061	HLA-E locus	owl:Class	
MRO:0000062	HLA-G locus	owl:Class	
MRO:0000063	HLA-MR1 locus	owl:Class	
MRO:0000064	MHC class I locus	owl:Class	
MRO:0000065	MHC class II locus	owl:Class	
MRO:0000066	Mamu-A locus	owl:Class	
MRO:0000067	Mamu-B locus	owl:Class	
MRO:0000068	Mamu-DPA locus	owl:Class	
MRO:0000069	Mamu-DPB locus	owl:Class	
MRO:0000070	Mamu-DRA locus	owl:Class	
MRO:0000071	Mamu-DRB locus	owl:Class	
MRO:0000072	Papa-A locus	owl:Class	
MRO:0000073	Patr-A locus	owl:Class	
MRO:0000074	Patr-AL locus	owl:Class	
MRO:0000075	Patr-B locus	owl:Class	
MRO:0000076	Patr-C locus	owl:Class	
MRO:0000077	Patr-DPA locus	owl:Class	
MRO:0000078	Patr-DPB locus	owl:Class	
MRO:0000079	Patr-DQA locus	owl:Class	
MRO:0000080	Patr-DQB locus	owl:Class	
MRO:0000081	Patr-DRA locus	owl:Class	
MRO:0000082	Patr-DRB locus	owl:Class	
MRO:0000083	RT1-A locus	owl:Class	
MRO:0000084	RT1-A1 locus	owl:Class	
MRO:0000085	RT1-A2 locus	owl:Class	
MRO:0000086	obsolete RT1-B locus	owl:Class	true
MRO:0000087	obsolete RT1-D locus	owl:Class	true
MRO:0000088	SLA-1 locus	owl:Class	
MRO:0000089	SLA-2 locus	owl:Class	
MRO:0000090	Saoe-G locus	owl:Class	
MRO:0000091	bonobo MHC class I locus	owl:Class	
MRO:0000092	bonobo MHC class II locus	owl:Class	
MRO:0000093	cattle MHC class I locus	owl:Class	
MRO:0000094	cattle MHC class II locus	owl:Class	
MRO:0000095	cattle non-classical MHC locus	owl:Class	
MRO:0000096	chicken MHC class I locus	owl:Class	
MRO:0000097	chicken MHC class II locus	owl:Class	
MRO:0000098	chicken non-classical MHC locus	owl:Class	
MRO:0000099	chimpanzee MHC class I locus	owl:Class	
MRO:0000100	chimpanzee MHC class II locus	owl:Class	
MRO:0000101	chimpanzee non-classical MHC locus	owl:Class	
MRO:0000102	cotton-top tamarin MHC class I locus	owl:Class	
MRO:0000103	cotton-top tamarin MHC class II locus	owl:Class	
MRO:0000104	dog MHC class I locus	owl:Class	
MRO:0000105	dog MHC class II locus	owl:Class	
MRO:0000106	gorilla MHC class I locus	owl:Class	
MRO:0000107	gorilla MHC class II locus	owl:Class	
MRO:0000108	horse MHC class I locus	owl:Class	
MRO:0000109	horse MHC class II locus	owl:Class	
MRO:0000110	human MHC class I locus	owl:Class	
MRO:0000111	human MHC class II locus	owl:Class	
MRO:0000112	human non-classical MHC locus	owl:Class	
MRO:0000113	marmoset MHC class I locus	owl:Class	
MRO:0000114	mouse MHC class I locus	owl:Class	
MRO:0000115	mouse MHC class II locus	owl:Class	
MRO:0000116	mouse non-classical MHC locus	owl:Class	
MRO:0000117	non-classical MHC locus	owl:Class	
MRO:0000118	pig MHC class I locus	owl:Class	
MRO:0000119	pig MHC class II locus	owl:Class	
MRO:0000120	rat MHC class I locus	owl:Class	
MRO:0000121	rat MHC class II locus	owl:Class	
MRO:0000122	rhesus macaque MHC class I locus	owl:Class	
MRO:0000123	rhesus macaque MHC class II locus	owl:Class	
MRO:0000124	sheep MHC class I locus	owl:Class	
MRO:0000125	sheep MHC class II locus	owl:Class	
MRO:0000126	A1 haplotype	owl:Class	
MRO:0000127	A3 haplotype	owl:Class	
MRO:0000128	A4 haplotype	owl:Class	
MRO:0000129	A5 haplotype	owl:Class	
MRO:0000130	A6 haplotype	owl:Class	
MRO:0000131	A7 haplotype	owl:Class	
MRO:0000132	A8 haplotype	owl:Class	
MRO:0000133	A9 haplotype	owl:Class	
MRO:0000134	B12 haplotype	owl:Class	
MRO:0000135	B14 haplotype	owl:Class	
MRO:0000136	B15 haplotype	owl:Class	
MRO:0000137	B19 haplotype	owl:Class	
MRO:0000138	B2 haplotype	owl:Class	
MRO:0000139	B21 haplotype	owl:Class	
MRO:0000140	B4 haplotype	owl:Class	
MRO:0000141	BF19 haplotype	owl:Class	
MRO:0000142	BF21 haplotype	owl:Class	
MRO:0000143	DH22B haplotype	owl:Class	
MRO:0000144	DH7A haplotype	owl:Class	
MRO:0000145	DH8A haplotype	owl:Class	
MRO:0000146	H2-a haplotype	owl:Class	
MRO:0000147	H2-b haplotype	owl:Class	
MRO:0000148	H2-d haplotype	owl:Class	
MRO:0000149	H2-f haplotype	owl:Class	
MRO:0000150	H2-g7 haplotype	owl:Class	
MRO:0000151	H2-i haplotype	owl:Class	
MRO:0000152	H2-i3 haplotype	owl:Class	
MRO:0000153	H2-k haplotype	owl:Class	
MRO:0000154	H2-p haplotype	owl:Class	
MRO:0000155	H2-q haplotype	owl:Class	
MRO:0000156	H2-r haplotype	owl:Class	
MRO:0000157	H2-s haplotype	owl:Class	
