ID,Label,Class Type,Parent,In Taxon
ID,A rdfs:label,CLASS_TYPE,C %,C 'in taxon' some %
MRO:bf-b-locus,BF-B locus,subclass,chicken non-classical MHC locus,
MRO:bf-bf1-locus,BF-BF1 locus,subclass,chicken MHC class I locus,
MRO:bf-bf2-locus,BF-BF2 locus,subclass,chicken MHC class I locus,
MRO:bf-yf-locus,BF-YF locus,subclass,chicken non-classical MHC locus,
MRO:bola-1-locus,BoLA-1 locus,subclass,cattle MHC class I locus,
MRO:bola-2-locus,BoLA-2 locus,subclass,cattle MHC class I locus,
MRO:bola-3-locus,BoLA-3 locus,subclass,cattle MHC class I locus,
MRO:bola-6-locus,BoLA-6 locus,subclass,cattle MHC class I locus,
MRO:bola-cd1-locus,BoLA-CD1 locus,subclass,cattle non-classical MHC locus,
MRO:bola-dqa-locus,BoLA-DQA locus,subclass,cattle MHC class II locus,
MRO:bola-dqb-locus,BoLA-DQB locus,subclass,cattle MHC class II locus,
MRO:bola-dra-locus,BoLA-DRA locus,subclass,cattle MHC class II locus,
MRO:bola-drb-locus,BoLA-DRB locus,subclass,cattle MHC class II locus,
MRO:bola-drb3-locus,BoLA-DRB3 locus,subclass,BoLA-DRB locus,
MRO:bola-drb6-locus,BoLA-DRB6 locus,subclass,BoLA-DRB locus,
MRO:bola-mr1-locus,BoLA-MR1 locus,subclass,cattle non-classical MHC locus,
MRO:caja-e-locus,Caja-E locus,subclass,marmoset MHC class I locus,
MRO:caja-g-locus,Caja-G locus,subclass,marmoset MHC class I locus,
MRO:dla-88-locus,DLA-88 locus,subclass,dog MHC class I locus,
MRO:ela-n-locus,ELA-N locus,subclass,horse MHC class I locus,
MRO:gogo-b-locus,Gogo-B locus,subclass,gorilla MHC class I locus,
MRO:h-2-cd1-locus,H-2-CD1 locus,subclass,mouse non-classical MHC locus,
MRO:h-2-d-locus,H-2-D locus,subclass,mouse MHC class I locus,
MRO:h-2-ia-alpha-locus,H-2-IA alpha locus,subclass,mouse MHC class II locus,
MRO:h-2-ia-beta-locus,H-2-IA beta locus,subclass,mouse MHC class II locus,
MRO:h-2-ie-alpha-locus,H-2-IE alpha locus,subclass,mouse MHC class II locus,
MRO:h-2-ie-beta-locus,H-2-IE beta locus,subclass,mouse MHC class II locus,
MRO:h-2-k-locus,H-2-K locus,subclass,mouse MHC class I locus,
MRO:h-2-l-locus,H-2-L locus,subclass,mouse MHC class I locus,
MRO:h-2-m-locus,H-2-M locus,subclass,mouse non-classical MHC locus,
MRO:h-2-mr1-locus,H-2-MR1 locus,subclass,mouse non-classical MHC locus,
MRO:h-2-q-locus,H-2-Q locus,subclass,mouse MHC class I locus,
MRO:hla-a-locus,HLA-A locus,subclass,human MHC class I locus,
MRO:hla-b-locus,HLA-B locus,subclass,human MHC class I locus,
MRO:hla-btn3a-locus,HLA-BTN3A locus,subclass,human non-classical MHC locus,
MRO:hla-c-locus,HLA-C locus,subclass,human MHC class I locus,
MRO:hla-cd1-locus,HLA-CD1 locus,subclass,human non-classical MHC locus,
MRO:hla-dpa-locus,HLA-DPA locus,subclass,human MHC class II locus,
