ID,Label,IEDB Label,Synonyms,Class Type,Parent,In Taxon,With Serotype
ID,A rdfs:label,A OBI:9991118,A IAO:0000118 SPLIT=|,CLASS_TYPE,C %,C 'in taxon' some %,C 'serotype member of' some %
MRO:bola-protein-complex-with-a10-serotype,BoLA protein complex with A10 serotype,BoLA-A10,,equivalent,protein complex,cattle,BoLA-A10 serotype
MRO:bola-protein-complex-with-a11-serotype,BoLA protein complex with A11 serotype,BoLA-A11,,equivalent,protein complex,cattle,BoLA-A11 serotype
MRO:bola-protein-complex-with-a14-serotype,BoLA protein complex with A14 serotype,BoLA-A14,,equivalent,protein complex,cattle,BoLA-A14 serotype
MRO:bola-protein-complex-with-a18-serotype,BoLA protein complex with A18 serotype,BoLA-A18,,equivalent,protein complex,cattle,BoLA-A18 serotype
MRO:bola-protein-complex-with-a31-serotype,BoLA protein complex with A31 serotype,BoLA-A31,,equivalent,protein complex,cattle,BoLA-A31 serotype
MRO:hla-protein-complex-with-a1-serotype,HLA protein complex with A1 serotype,HLA-A1,HLA-A*01,equivalent,protein complex,human,HLA-A1 serotype
MRO:hla-protein-complex-with-a11-serotype,HLA protein complex with A11 serotype,HLA-A11,HLA-A*11,equivalent,protein complex,human,HLA-A11 serotype
MRO:hla-protein-complex-with-a2-serotype,HLA protein complex with A2 serotype,HLA-A2,HLA-A*02|HLA-A2.2,equivalent,protein complex,human,HLA-A2 serotype
MRO:hla-protein-complex-with-a203-serotype,HLA protein complex with A203 serotype,HLA-A203,,equivalent,protein complex,human,HLA-A203 serotype
MRO:hla-protein-complex-with-a23-serotype,HLA protein complex with A23 serotype,HLA-A23,HLA-A*23,equivalent,protein complex,human,HLA-A23 serotype
MRO:hla-protein-complex-with-a24-serotype,HLA protein complex with A24 serotype,HLA-A24,HLA-A*24|HLA-A24.1,equivalent,protein complex,human,HLA-A24 serotype
MRO:hla-protein-complex-with-a2403-serotype,HLA protein complex with A2403 serotype,HLA-A2403,,equivalent,protein complex,human,HLA-A2403 serotype
MRO:hla-protein-complex-with-a25-serotype,HLA protein complex with A25 serotype,HLA-A25,HLA-A*25,equivalent,protein complex,human,HLA-A25 serotype
MRO:hla-protein-complex-with-a26-serotype,HLA protein complex with A26 serotype,HLA-A26,HLA-A*26,equivalent,protein complex,human,HLA-A26 serotype
MRO:hla-protein-complex-with-a28-serotype,HLA protein complex with A28 serotype,HLA-A28,HLA-A*28,equivalent,protein complex,human,HLA-A28 serotype
MRO:hla-protein-complex-with-a29-serotype,HLA protein complex with A29 serotype,HLA-A29,HLA-A*29,equivalent,protein complex,human,HLA-A29 serotype
MRO:hla-protein-complex-with-a3-serotype,HLA protein complex with A3 serotype,HLA-A3,HLA-A*03,equivalent,protein complex,human,HLA-A3 serotype
MRO:hla-protein-complex-with-a30-serotype,HLA protein complex with A30 serotype,HLA-A30,HLA-A*30,equivalent,protein complex,human,HLA-A30 serotype
MRO:hla-protein-complex-with-a31-serotype,HLA protein complex with A31 serotype,HLA-A31,HLA-A*31,equivalent,protein complex,human,HLA-A31 serotype
