ID	Label	Type	Editor Preferred Term	IEDB Label	Class Type	Parent	Logic	Definition	Definition Source	Example of Usage	Source Ontology	Species Code
ID	A rdfs:label	TYPE	A IAO:0000111	A OBI:9991118	CLASS_TYPE	C %	C %	A IAO:0000115	A IAO:0000119	A IAO:0000112	AI IAO:0000412	
ECO:0000000	evidence	owl:Class	evidence		subclass	information content entity					http://purl.obolibrary.org/obo/eco.owl	
GO:0042611	MHC protein complex	owl:Class	MHC protein complex	MHC molecule	equivalent	protein-containing complex	('has part' some (protein and ('gene product of' some 'MHC gene')))	A transmembrane protein complex composed of an MHC alpha chain and, in most cases, either an MHC class II beta chain or an invariant beta2-microglobin chain, and with or without a bound peptide, lipid, or polysaccharide antigen.	GO		http://purl.obolibrary.org/obo/go.owl	
NCBITaxon:7959	grass carp	owl:Class	Ctenopharyngodon idella		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Ctid
NCBITaxon:8022	rainbow trout	owl:Class	Oncorhynchus mykiss		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Onmy
NCBITaxon:8030	atlantic salmon	owl:Class	Salmo salar		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Sasa
NCBITaxon:8355	clawed frog	owl:Class	Xenopus laevis		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Xela
NCBITaxon:8839	duck	owl:Class	Anas platyrhynchos		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Anpl
NCBITaxon:9031	chicken	owl:Class	Gallus gallus		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Gaga
NCBITaxon:9337	common brushtail	owl:Class	Trichosurus vulpecula		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Trvu
NCBITaxon:9402	black flying fox	owl:Class	Pteropus alecto		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Ptal
NCBITaxon:9483	marmoset	owl:Class	Callithrix jacchus		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Caja
NCBITaxon:9487	brown-mantled tamarin	owl:Class	Leontocebus fuscicollis		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Safu
NCBITaxon:9488	moustached tamarin	owl:Class	Saguinus mystax		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Samy
NCBITaxon:9490	cotton-top tamarin	owl:Class	Saguinus oedipus		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Saoe
NCBITaxon:9493	pygmy marmoset	owl:Class	Cebuella pygmaea		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Capy
NCBITaxon:9505	three-striped night monkey	owl:Class	Aotus trivirgatus		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Aotr
NCBITaxon:9507	white-fronted spider monkey	owl:Class	Ateles belzebuth		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Atbe
NCBITaxon:9508	black-headed spider monkey	owl:Class	Ateles fusciceps		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Atfu
NCBITaxon:9515	tufted capuchin	owl:Class	Sapajus apella		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Ceap
NCBITaxon:9521	common squirrel monkey	owl:Class	Saimiri sciureus		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Sasc
NCBITaxon:9523	red-bellied titi	owl:Class	Plecturocebus moloch		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Camo
NCBITaxon:9531	sooty mangabey	owl:Class	Cercocebus atys		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Ceat
NCBITaxon:9534	grivet	owl:Class	Chlorocebus aethiops		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Chae
NCBITaxon:9540	stump-tailed macaque	owl:Class	Macaca arctoides		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Maar
NCBITaxon:9541	crab-eating macaque	owl:Class	Macaca fascicularis		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Mafa
NCBITaxon:9542	Japanese macaque	owl:Class	Macaca fuscata		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Mafu
NCBITaxon:9544	rhesus macaque	owl:Class	Macaca mulatta		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Mamu
NCBITaxon:9545	southern pig-tailed macaque	owl:Class	Macaca nemestrina		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Mane
NCBITaxon:9551	Assam macaque	owl:Class	Macaca assamensis		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Maas
NCBITaxon:9555	olive baboon	owl:Class	Papio anubis		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Paan
NCBITaxon:9556	yellow baboon	owl:Class	Papio cynocephalus		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Pacy
NCBITaxon:9557	hamadryas baboon	owl:Class	Papio hamadryas		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Paha
NCBITaxon:9561	mandrill	owl:Class	Mandrillus sphinx		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Masp
NCBITaxon:9565	gelada	owl:Class	Theropithecus gelada		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Thge
NCBITaxon:9568	drill	owl:Class	Mandrillus leucophaeus		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Male
NCBITaxon:9580	lar gibbon	owl:Class	Hylobates lar		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Hyla
NCBITaxon:9593	gorilla	owl:Class	Gorilla gorilla		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Gogo
NCBITaxon:9597	bonobo	owl:Class	Pan paniscus		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Papa
NCBITaxon:9598	chimpanzee	owl:Class	Pan troglodytes		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Patr
NCBITaxon:9600	Bornean orangutan	owl:Class	Pongo pygmaeus		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Popy
NCBITaxon:9601	Sumatran orangutan	owl:Class	Pongo abelii		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Poab
NCBITaxon:9606	human	owl:Class	Homo sapiens		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	HLA
NCBITaxon:9615	dog	owl:Class	Canis lupus familiaris		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	DLA
NCBITaxon:9646	giant panda	owl:Class	Ailuropoda melanoleuca		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	Amie
NCBITaxon:9685	cat	owl:Class	Felis catus		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	FLA
NCBITaxon:9796	horse	owl:Class	Equus caballus		subclass	organism					http://purl.obolibrary.org/obo/ncbitaxon.owl	ELA
