Label	Synonyms	Class Type	Parent	In Taxon
LABEL	A IAO:0000118 SPLIT=|	CLASS_TYPE	C %	C 'in taxon' some %
Aime-128 gene		subclass	giant panda MHC class I gene	
Anpl-UAA gene		subclass	duck MHC class I gene	
Assam macaque MHC class I gene		subclass	MHC class I gene	Assam macaque
Assam macaque MHC class II gene		subclass	MHC class II gene	Assam macaque
Atbe-B gene		subclass	white-fronted spider monkey MHC class I gene	
Atbe-E gene		subclass	white-fronted spider monkey MHC class I gene	
Atbe-G gene		subclass	white-fronted spider monkey MHC class I gene	
Atfu-B gene		subclass	black-headed spider monkey MHC class I gene	
Atfu-E gene		subclass	black-headed spider monkey MHC class I gene	
Atfu-G gene		subclass	black-headed spider monkey MHC class I gene	
Azara's night monkey MHC class I gene		subclass	MHC class I gene	Azara's night monkey
Azara's night monkey MHC class II gene		subclass	MHC class II gene	Azara's night monkey
BoLA-1 gene		subclass	cattle MHC class I gene	
BoLA-2 gene		subclass	cattle MHC class I gene	
BoLA-3 gene		subclass	cattle MHC class I gene	
BoLA-4 gene		subclass	cattle MHC class I gene	
BoLA-5 gene		subclass	cattle MHC class I gene	
BoLA-6 gene		subclass	cattle MHC class I gene	
BoLA-CD1 gene		subclass	cattle non-classical MHC gene	
BoLA-DQA gene		subclass	cattle MHC class II gene	
BoLA-DQB gene		subclass	cattle MHC class II gene	
BoLA-DRA gene		subclass	cattle MHC class II gene	
BoLA-DRB3 gene		subclass	BoLA-DRB gene	
BoLA-DRB6 gene		subclass	BoLA-DRB gene	
BoLA-DRB gene		subclass	cattle MHC class II gene	
BoLA-MR1 gene		subclass	cattle non-classical MHC gene	
BoLA-NC1 gene		subclass	cattle non-classical MHC gene	
BoLA-NC2 gene		subclass	cattle non-classical MHC gene	
BoLA-NC3 gene		subclass	cattle non-classical MHC gene	
BoLA-NC4 gene		subclass	cattle non-classical MHC gene	
Bornean orangutan MHC class I gene		subclass	MHC class I gene	Bornean orangutan
Bornean orangutan MHC class II gene		subclass	MHC class II gene	Bornean orangutan
Caja-B4 gene		subclass	marmoset MHC class I gene	
Caja-B5 gene		subclass	marmoset MHC class I gene	
Caja-B6 gene		subclass	marmoset MHC class I gene	
Caja-B7 gene		subclass	marmoset MHC class I gene	
Caja-B8 gene		subclass	marmoset MHC class I gene	
Caja-B9 gene		subclass	marmoset MHC class I gene	
Caja-E gene		subclass	marmoset MHC class I gene	
Caja-F gene		subclass	marmoset MHC class I gene	
Caja-G gene		subclass	marmoset MHC class I gene	
Caja-PS2 gene		subclass	marmoset MHC class I gene	
Cemi-A gene		subclass	blue monkey MHC class I gene	
Cemi-B gene		subclass	blue monkey MHC class I gene	
Chae-A gene		subclass	grivet MHC class I gene	
Chae-B gene		subclass	grivet MHC class I gene	
Chae-G gene		subclass	grivet MHC class I gene	
Chinese tree shrew MHC class I gene		subclass	MHC class I gene	Chinese tree shrew
Chinese tree shrew MHC class II gene		subclass	MHC class II gene	Chinese tree shrew
Ctid-UAA gene		subclass	grass carp MHC class I gene	
DLA-64 gene		subclass	dog MHC class I gene	
DLA-88 gene		subclass	dog MHC class I gene	
De Brazza's monkey MHC class I gene		subclass	MHC class I gene	De Brazza's monkey
De Brazza's monkey MHC class II gene		subclass	MHC class II gene	De Brazza's monkey
ELA-1 gene		subclass	horse MHC class I gene	
ELA-16 gene		subclass	horse MHC class I gene	
ELA-N gene		subclass	horse MHC class I gene	
Eqca-1 gene		subclass	horse MHC class I gene	
Eqca-2 gene		subclass	horse MHC class I gene	
Eqca-3 gene		subclass	horse MHC class I gene	
Eqca-4 gene		subclass	horse MHC class I gene	
Eqca-6 gene		subclass	horse MHC class I gene	
Eqca-7 gene		subclass	horse MHC class I gene	
Eqca-16 gene		subclass	horse MHC class I gene	
Eqca-N gene		subclass	horse MHC class I gene	
FLA-E gene		subclass	cat MHC class I gene	
Gaga-BF1 gene		subclass	chicken MHC class I gene	
Gaga-BF2 gene		subclass	chicken MHC class I gene	
Gaga-BF-B gene		subclass	chicken non-classical MHC gene	
Gaga-BF-YF gene		subclass	chicken non-classical MHC gene	
Geoffroy's tamarin MHC class I gene		subclass	MHC class I gene	Geoffroy's tamarin
Geoffroy's tamarin MHC class II gene		subclass	MHC class II gene	Geoffroy's tamarin
Gogo-A gene		subclass	gorilla MHC class I gene	
Gogo-B gene		subclass	gorilla MHC class I gene	
Gogo-C gene		subclass	gorilla MHC class I gene	
Gogo-E gene		subclass	gorilla MHC class I gene	
Gogo-F gene		subclass	gorilla MHC class I gene	
Gogo-G gene		subclass	gorilla MHC class I gene	
Gogo-H gene		subclass	gorilla MHC class I gene	
Gogo-OKO gene		subclass	gorilla MHC class I gene	
Guatemalan black howler MHC class I gene		subclass	MHC class I gene	Guatemalan black howler
Guatemalan black howler MHC class II gene		subclass	MHC class II gene	Guatemalan black howler
Guinea baboon MHC class I gene		subclass	MHC class I gene	Guinea baboon
Guinea baboon MHC class II gene		subclass	MHC class II gene	Guinea baboon
H2-D gene		subclass	mouse MHC class I gene	
H2-IA alpha gene		subclass	mouse MHC class II gene	
H2-IA beta gene		subclass	mouse MHC class II gene	
H2-IE alpha gene		subclass	mouse MHC class II gene	
H2-IE beta gene		subclass	mouse MHC class II gene	
H2-K gene		subclass	mouse MHC class I gene	
H2-L gene		subclass	mouse MHC class I gene	
H2-M gene		subclass	mouse non-classical MHC gene	
H2-MR1 gene		subclass	mouse non-classical MHC gene	
H2-Q1 gene		subclass	H2-Q gene	
H2-Q2 gene		subclass	H2-Q gene	
H2-Q9 gene		subclass	H2-Q gene	
H2-Q gene		subclass	mouse non-classical MHC gene	
HLA-A gene		subclass	human MHC class I gene	
HLA-B gene		subclass	human MHC class I gene	
HLA-BTN3A gene		subclass	human non-classical MHC gene	
HLA-C gene		subclass	human MHC class I gene	
HLA-CD1 gene		subclass	human non-classical MHC gene	
HLA-DPA gene		subclass	human MHC class II gene	
HLA-DPB gene		subclass	human MHC class II gene	
HLA-DQA gene		subclass	human MHC class II gene	
HLA-DQB gene		subclass	human MHC class II gene	
HLA-DRA gene		subclass	human MHC class II gene	
HLA-DRB1 gene		subclass	HLA-DRB gene	
HLA-DRB3 gene		subclass	HLA-DRB gene	
HLA-DRB4 gene		subclass	HLA-DRB gene	
HLA-DRB5 gene		subclass	HLA-DRB gene	
HLA-DRB gene		subclass	human MHC class II gene	
HLA-E gene		subclass	human non-classical MHC gene	
HLA-F gene		subclass	human non-classical MHC gene	
HLA-G gene		subclass	human non-classical MHC gene	
HLA-MR1 gene		subclass	human non-classical MHC gene	
Hyla-A gene		subclass	lar gibbon MHC class I gene	
Hyla-B gene		subclass	lar gibbon MHC class I gene	
Japanese macaque MHC class I gene		subclass	MHC class I gene	Japanese macaque
Japanese macaque MHC class II gene		subclass	MHC class II gene	Japanese macaque
Lero-G gene		subclass	golden lion tamarin MHC class I gene	
MHC class I gene		subclass	MHC gene	
MHC class II gene		subclass	MHC gene	
Maar-A1 gene		subclass	stump-tailed macaque MHC class I gene	
Maar-B gene		subclass	stump-tailed macaque MHC class I gene	
Maar-I gene		subclass	stump-tailed macaque MHC class I gene	
Mafa-A1 gene		subclass	crab-eating macaque MHC class I gene	
Mafa-A2 gene		subclass	stump-tailed macaque MHC class I gene	
Mafa-A3 gene		subclass	stump-tailed macaque MHC class I gene	
Mafa-A4 gene		subclass	stump-tailed macaque MHC class I gene	
Mafa-A5 gene		subclass	stump-tailed macaque MHC class I gene	
Mafa-A6 gene		subclass	stump-tailed macaque MHC class I gene	
Mafa-A8 gene		subclass	stump-tailed macaque MHC class I gene	
Mafa-A gene		subclass	stump-tailed macaque MHC class I gene	
Mafa-AG gene		subclass	stump-tailed macaque MHC class I gene	
Mafa-B gene		subclass	stump-tailed macaque MHC class I gene	
Mafa-DQA gene		subclass	crab-eating macaque MHC class II gene	
Mafa-DQB gene		subclass	crab-eating macaque MHC class II gene	
Mafa-DRA gene		subclass	crab-eating macaque MHC class II gene	
Mafa-DRB gene		subclass	crab-eating macaque MHC class II gene	
Mafa-E gene		subclass	stump-tailed macaque MHC class I gene	
Mafa-F gene		subclass	stump-tailed macaque MHC class I gene	
Mafa-G gene		subclass	stump-tailed macaque MHC class I gene	
Mafa-I gene		subclass	stump-tailed macaque MHC class I gene	
Mamu-A gene		subclass	rhesus macaque MHC class I gene	
Mamu-B gene		subclass	rhesus macaque MHC class I gene	
Mamu-CD1 gene		subclass	rhesus macaque non-classical MHC gene	
Mamu-DPA gene		subclass	rhesus macaque MHC class II gene	
Mamu-DPB gene		subclass	rhesus macaque MHC class II gene	
Mamu-DQA gene		subclass	rhesus macaque MHC class II gene	
