ID	Label	Type	IEDB Label	Synonyms	Restriction Level	Class Type	Parent	In Taxon	With Serotype
ID	LABEL	TYPE	A OBI:9991118	A IAO:0000118 SPLIT=|	A has MHC restriction level	CLASS_TYPE	C %	C 'in taxon' some %	C 'serotype member of' some %
MRO:0001523	BoLA protein complex with A10 serotype	owl:Class	BoLA-A10		serotype	equivalent	MHC protein complex	cattle	BoLA-A10 serotype
MRO:0001524	BoLA protein complex with A11 serotype	owl:Class	BoLA-A11		serotype	equivalent	MHC protein complex	cattle	BoLA-A11 serotype
MRO:0001525	BoLA protein complex with A14 serotype	owl:Class	BoLA-A14		serotype	equivalent	MHC protein complex	cattle	BoLA-A14 serotype
MRO:0001526	BoLA protein complex with A18 serotype	owl:Class	BoLA-A18		serotype	equivalent	MHC protein complex	cattle	BoLA-A18 serotype
MRO:0001527	BoLA protein complex with A31 serotype	owl:Class	BoLA-A31		serotype	equivalent	MHC protein complex	cattle	BoLA-A31 serotype
MRO:0001528	HLA protein complex with A1 serotype	owl:Class	HLA-A1	HLA-A*01	serotype	equivalent	MHC protein complex	human	HLA-A1 serotype
MRO:0001529	HLA protein complex with A11 serotype	owl:Class	HLA-A11	HLA-A*11	serotype	equivalent	MHC protein complex	human	HLA-A11 serotype
MRO:0001530	HLA protein complex with A2 serotype	owl:Class	HLA-A2	HLA-A*02|HLA-A2.2	serotype	equivalent	MHC protein complex	human	HLA-A2 serotype
MRO:0001532	HLA protein complex with A23 serotype	owl:Class	HLA-A23	HLA-A*23	serotype	equivalent	MHC protein complex	human	HLA-A23 serotype
MRO:0001533	HLA protein complex with A24 serotype	owl:Class	HLA-A24	HLA-A*24|HLA-A24.1	serotype	equivalent	MHC protein complex	human	HLA-A24 serotype
MRO:0001535	HLA protein complex with A25 serotype	owl:Class	HLA-A25	HLA-A*25	serotype	equivalent	MHC protein complex	human	HLA-A25 serotype
MRO:0001536	HLA protein complex with A26 serotype	owl:Class	HLA-A26	HLA-A*26	serotype	equivalent	MHC protein complex	human	HLA-A26 serotype
MRO:0001537	HLA protein complex with A28 serotype	owl:Class	HLA-A28	HLA-A*28	serotype	equivalent	MHC protein complex	human	HLA-A28 serotype
MRO:0001538	HLA protein complex with A29 serotype	owl:Class	HLA-A29	HLA-A*29	serotype	equivalent	MHC protein complex	human	HLA-A29 serotype
MRO:0001539	HLA protein complex with A3 serotype	owl:Class	HLA-A3	HLA-A*03	serotype	equivalent	MHC protein complex	human	HLA-A3 serotype
MRO:0001540	HLA protein complex with A30 serotype	owl:Class	HLA-A30	HLA-A*30	serotype	equivalent	MHC protein complex	human	HLA-A30 serotype
MRO:0001541	HLA protein complex with A31 serotype	owl:Class	HLA-A31	HLA-A*31	serotype	equivalent	MHC protein complex	human	HLA-A31 serotype
MRO:0001542	HLA protein complex with A32 serotype	owl:Class	HLA-A32	HLA-A*32	serotype	equivalent	MHC protein complex	human	HLA-A32 serotype
MRO:0001543	HLA protein complex with A33 serotype	owl:Class	HLA-A33	HLA-A*33	serotype	equivalent	MHC protein complex	human	HLA-A33 serotype
MRO:0001544	HLA protein complex with A34 serotype	owl:Class	HLA-A34	HLA-A*34	serotype	equivalent	MHC protein complex	human	HLA-A34 serotype
MRO:0001545	HLA protein complex with A66 serotype	owl:Class	HLA-A66		serotype	equivalent	MHC protein complex	human	HLA-A66 serotype
MRO:0001546	HLA protein complex with A68 serotype	owl:Class	HLA-A68	HLA-A*68|HLA-Aw68	serotype	equivalent	MHC protein complex	human	HLA-A68 serotype
MRO:0001547	HLA protein complex with A69 serotype	owl:Class	HLA-A69	HLA-A*69|HLA-Aw69	serotype	equivalent	MHC protein complex	human	HLA-A69 serotype
MRO:0001548	HLA protein complex with A74 serotype	owl:Class	HLA-A74	HLA-A*74	serotype	equivalent	MHC protein complex	human	HLA-A74 serotype
MRO:0001549	HLA protein complex with A80 serotype	owl:Class	HLA-A80	HLA-A*80	serotype	equivalent	MHC protein complex	human	HLA-A80 serotype
MRO:0001550	HLA protein complex with B12 serotype	owl:Class	HLA-B12	HLA-B*12	serotype	equivalent	MHC protein complex	human	HLA-B12 serotype
MRO:0001551	HLA protein complex with B13 serotype	owl:Class	HLA-B13	HLA-B*13	serotype	equivalent	MHC protein complex	human	HLA-B13 serotype
