ID	Label	Type	Synonyms	Class Type	Parent	In Taxon
ID	LABEL	TYPE	A IAO:0000118 SPLIT=|	CLASS_TYPE	C %	C 'in taxon' some %
MRO:0000181	BoLA-A10 serotype	owl:Class		subclass	cattle MHC class I serotype	
MRO:0000182	BoLA-A11 serotype	owl:Class		subclass	cattle MHC class I serotype	
MRO:0000183	BoLA-A14 serotype	owl:Class		subclass	cattle MHC class I serotype	
MRO:0000184	BoLA-A18 serotype	owl:Class		subclass	cattle MHC class I serotype	
MRO:0000185	BoLA-A31 serotype	owl:Class		subclass	cattle MHC class I serotype	
MRO:0000186	HLA-A serotype	owl:Class		subclass	human MHC class I serotype	
MRO:0000187	HLA-A1 serotype	owl:Class		subclass	HLA-A serotype	
MRO:0000188	HLA-A11 serotype	owl:Class		subclass	HLA-A serotype	
MRO:0000189	HLA-A2 serotype	owl:Class		subclass	HLA-A serotype	
MRO:0000191	HLA-A23 serotype	owl:Class		subclass	HLA-A serotype	
MRO:0000192	HLA-A24 serotype	owl:Class		subclass	HLA-A serotype	
MRO:0000194	HLA-A25 serotype	owl:Class		subclass	HLA-A serotype	
MRO:0000195	HLA-A26 serotype	owl:Class		subclass	HLA-A serotype	
MRO:0000196	HLA-A28 serotype	owl:Class		subclass	HLA-A serotype	
MRO:0000197	HLA-A29 serotype	owl:Class		subclass	HLA-A serotype	
MRO:0000198	HLA-A3 serotype	owl:Class		subclass	HLA-A serotype	
MRO:0000199	HLA-A30 serotype	owl:Class		subclass	HLA-A serotype	
MRO:0000200	HLA-A31 serotype	owl:Class		subclass	HLA-A serotype	
MRO:0000201	HLA-A32 serotype	owl:Class		subclass	HLA-A serotype	
MRO:0000202	HLA-A33 serotype	owl:Class		subclass	HLA-A serotype	
MRO:0000203	HLA-A34 serotype	owl:Class		subclass	HLA-A serotype	
MRO:0000204	HLA-A66 serotype	owl:Class		subclass	HLA-A serotype	
MRO:0000205	HLA-A68 serotype	owl:Class		subclass	HLA-A serotype	
MRO:0000206	HLA-A69 serotype	owl:Class		subclass	HLA-A serotype	
MRO:0000207	HLA-A74 serotype	owl:Class		subclass	HLA-A serotype	
MRO:0000208	HLA-A80 serotype	owl:Class		subclass	HLA-A serotype	
MRO:0000209	HLA-B serotype	owl:Class		subclass	human MHC class I serotype	
MRO:0000210	HLA-B12 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000211	HLA-B13 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000212	HLA-B14 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000213	HLA-B15 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000214	HLA-B16 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000215	HLA-B17 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000216	HLA-B18 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000217	HLA-B27 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000218	HLA-B35 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000219	HLA-B37 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000220	HLA-B38 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000221	HLA-B39 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000222	HLA-B3901 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000223	HLA-B40 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000224	HLA-B41 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000225	HLA-B42 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000226	HLA-B44 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000227	HLA-B45 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000228	HLA-B46 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000229	HLA-B47 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000230	HLA-B48 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000231	HLA-B49 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000232	HLA-B50 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000233	HLA-B51 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000234	HLA-B5102 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000235	HLA-B52 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000236	HLA-B53 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000237	HLA-B54 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000238	HLA-B55 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000239	HLA-B56 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000240	HLA-B57 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000241	HLA-B58 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000242	HLA-B60 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000243	HLA-B61 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000244	HLA-B62 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000245	HLA-B63 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000246	HLA-B65 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000247	HLA-B7 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000248	HLA-B70 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000249	HLA-B71 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000250	HLA-B73 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000251	HLA-B75 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000252	HLA-B77 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000253	HLA-B8 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000254	HLA-B81 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000255	HLA-Bw4 serotype	owl:Class		subclass	HLA-B serotype	
MRO:0000256	HLA-C serotype	owl:Class		subclass	human MHC class I serotype	
MRO:0000257	HLA-Cw1 serotype	owl:Class		subclass	HLA-C serotype	
MRO:0000258	HLA-Cw10 serotype	owl:Class		subclass	HLA-C serotype	
MRO:0000259	HLA-Cw12 serotype	owl:Class		subclass	HLA-C serotype	
MRO:0000260	HLA-Cw15 serotype	owl:Class		subclass	HLA-C serotype	
MRO:0000261	HLA-Cw16 serotype	owl:Class		subclass	HLA-C serotype	
MRO:0000262	HLA-Cw2 serotype	owl:Class		subclass	HLA-C serotype	
MRO:0000263	HLA-Cw3 serotype	owl:Class		subclass	HLA-C serotype	
MRO:0000264	HLA-Cw4 serotype	owl:Class		subclass	HLA-C serotype	
